Federated Investors, Inc.;Federated	Federated
Community Bankers Trust Corporation	Community Bankers Trust Corporation
Chromcraft Revington	Chromcraft Revington
EnviroStar, Inc.;EnviroStar	EnviroStar
Hooper Holmes	Hooper Holmes
Avalon Holdings Corporation;Avalon	Avalon
Spark Networks, Inc.	Spark Networks, Inc.
Ballantyne Strong, Inc.;Ballantyne Strong	Ballantyne Strong
Erin Energy Corporation;Erin Energy	Erin Energy Corporation
CKX Lands, Inc.;CKX	CKX
Flow International Corporation	美国福禄国际股份有限公司
ECB Bancorp	ECB Bancorp
Evans Bancorp, Inc.	Evans Bancorp, Inc.
Evans Bancorp, Inc.	Evans Bancorp, Inc.
Cohen & Company Inc.	Cohen & Company Inc.
East West Bancorp, Inc.	华美银行控股公司
HOMEINNS HOTEL GROUP;HOME INNS	如家酒店
Ford Motor Company;Ford Motor	福特汽车
Citigroup Inc.;Citi	花旗
FedEx Corporation;FedEx	联邦快递
Franklin Resources, Inc.	富兰克林资源公司
AirMedia Group Inc.;AirMedia	航美传媒
International Paper Company;International Paper	国际纸业
Adtalem Global Education Inc.	Adtalem Global Education Inc.
Ecolab Inc.;Ecolab	艺康
Consolidated Edison, Inc.;Con Edison	联合爱迪生
Equifax Inc.;Equifax	Equifax
The Estée Lauder Companies Inc.;Estée Lauder	雅诗兰黛
Eastman Chemical Company;Eastman	伊士曼
Equity Residential	公平住屋
Eaton Corporation plc;Eaton	伊顿
Entergy Corporation;Entergy	安特吉
Edwards Lifesciences Corporation;Edwards	爱德华
Freeport-McMoRan Inc.;Freeport-McMoRan	自由港迈克墨伦
Fidelity National Information Services, Inc.	Fidelity National Information Services, Inc.
Flowserve Corporation;Flowserve	福斯
Forest Laboratories Inc	森林实验室
FMC Technologies Inc.	FMC技术
Frontier Communications Corporation	Frontier Communications Corporation
Harman International Industries Inc.;Harman International Industries	哈曼国际工业
Welltower Inc.	Welltower Inc.
HCP, Inc.;HCP	HCP, Inc.
Hess Corporation;Hess	Hess
HJ Heinz Co.	亨氏
The Interpublic Group of Companies, Inc.;IPG	埃培智
Ingersoll-Rand Public Limited Company;Ingersoll-Rand	英格索兰
Iron Mountain Incorporated	铁山公司
Illinois Tool Works Inc.	Illinois Tool Works Inc.
Invesco Ltd.;Invesco	景顺
Jacobs Engineering Group Inc.	Jacobs Engineering Group Inc.
Lorillard Inc.;Lorillard	罗瑞拉德烟草
Jefferies Financial Group Inc.;Jefferies	Jefferies
Eversource Energy;Eversource	Eversource
Anthem, Inc.;Anthem	Anthem
Akamai Technologies, Inc.;Akamai	阿卡迈
Alexion Pharmaceuticals, Inc.;Alexion	Alexion
Bed Bath & Beyond Inc.;Bed Bath & Beyond	Bed Bath & Beyond
Biogen Inc.;Biogen	生化基因
Bmc Software Inc.;BMC Software	Bmc软件
Broadcom Corp;Broadcom	博通公司
Compuware Corp.;Compuware	康博软件
Electronic Arts Inc.	电子艺界公司
E*TRADE Financial Corporation	亿创金融公司
Expeditors International of Washington, Inc.;Expeditors	Expeditors
Fastenal Company;Fastenal	快扣
F5 Networks, Inc.;F5	F5
Fiserv, Inc.;Fiserv	费哲金融服务
Flex Ltd.;Flex	伟创力
FLIR Systems, Inc.;FLIR	菲力尔
First Solar, Inc.;First Solar	第一太阳能
Hasbro, Inc.;Hasbro	孩之宝
Hudson City Bancorp Inc;Hudson City Bancorp	哈德逊城市银行
Intuitive Surgical, Inc.;Intuitive	直觉外科
Isramco, Inc.;Isramco	Isramco
Logitech International S.A.;Logitech	罗技
Lam Research Corporation;Lam Research	Lam Research
BlackBerry Limited;BlackBerry	黑莓
Apartment Investment and Management Company;Aimco	Aimco
Assurant, Inc.	Assurant, Inc.
AK Steel Holding Corporation	AK钢铁控股公司
AK Steel Holding Corporation	AK钢铁控股公司
Advanced Micro Devices, Inc.;AMD	超威半导体
Advanced Micro Devices, Inc.;AMD	超威半导体
Abercrombie & Fitch Co.;A&F	阿贝克隆比&费奇
Aon Plc;AON	怡安保险
Air Products and Chemicals, Inc.;Air Products	Air Products
Amphenol Corporation;Amphenol	Amphenol
Airgas Inc.	Airgas
Allegheny Technologies Incorporated;ATI	ATI
Avon Products, Inc.;Avon	雅芳
Brown-Forman Corporation;Brown-Forman	百富门
The Blackstone Group L.P.;Blackstone	黑石
Ball Corporation;Ball	波尔
Bemis Company, Inc.;Bemis	比米斯
Boston Scientific Corporation;Boston Scientific	波士顿科学
Peabody Energy Corporation;Peabody	皮博迪
Peabody Energy Corporation;Peabody	皮博迪
Boston Properties, Inc.	Boston Properties, Inc.
Cleveland-Cliffs Inc.;Cliffs	克里夫
The Clorox Company;Clorox	高乐氏
Chipotle Mexican Grill, Inc.;Chipotle	契普多
CMS Energy Corporation;CMS Energy	CMS能源
CenterPoint Energy, Inc.;CenterPoint Energy	中点能源
Cabot Oil & Gas Corporation	卡伯特石油天然气公司
Rockwell Collins, Inc.;Rockwell Collins	罗克韦尔柯林斯
Campbell Soup Company;Campbell Soup	金宝汤
Bowl America Incorporated;Bowl America	Bowl America
Lowe’s Companies, Inc.;Lowe's	劳氏
Fifth Third Bancorp;Fifth Third	五三银行
Amgen Inc.;Amgen	安进
BHP Group Plc;BHP	必和必拓
BHP Group Limited;BHP	必和必拓
Gas Natural Inc.	Gas Natural Inc.
EnSync, Inc.;EnSync	EnSync
Advanced Photonix	Advanced Photonix
Blonder Tongue Laboratories, Inc.	Blonder Tongue Laboratories, Inc.
Cover-All Technologies	Cover-All Technologies
Crexendo	Crexendo
Ellie Mae, Inc.;Ellie Mae	Ellie Mae
Ellie Mae, Inc.;Ellie Mae	Ellie Mae
eMagin Corporation;eMagin	eMagin
Colgate-Palmolive Company;Colgate-Palmolive	高露洁-棕榄
Covidien PLC;Covidien	科维迪恩
Anadarko Petroleum Corporation;Anadarko Petroleum	阿纳达科石油
Baxter International Inc.;Baxter	百特
Apache Corporation;Apache	阿帕奇
Cummins Inc.;Cummins	康明斯
Jabil Inc.;Jabil	捷普
Family Dollar Stores Inc	家庭美元商店
BlackRock, Inc.;BlackRock	贝莱德
BlackRock, Inc.;BlackRock	贝莱德
Berkshire Hathaway Inc.;Berkshire	伯克希尔哈撒韦
Eldorado Gold Corporation;Eldorado Gold	埃尔拉多黄金
Eldorado Gold Corporation;Eldorado Gold	埃尔拉多黄金
Barclays Bank PLC;Barclays Bank	巴克莱银行
Barclays Bank PLC;Barclays Bank	巴克莱银行
American Express Company;American Express	美国运通
Comerica Incorporated;Comerica	Comerica
Huntington Bancshares Incorporated;Huntington	亨廷顿
Agilent Technologies, Inc.;Agilent Technologies	安捷伦
Ameriprise Financial, Inc.;Ameriprise Financial	Ameriprise Financial
BB&T Corporation;BB&T	BB&T
Johnson Controls International plc;Johnson Controls	江森自控
Exelon Corporation;Exelon	爱克斯龙
Bristol-Myers Squibb Company;Bristol-Myers Squibb	百时美施贵宝
Costco Wholesale Corporation;Costco	好市多
BP p.l.c.;BP	英国石油
Alcatel Lucent	阿尔卡特朗讯
